Ägg;Mejeri;LactoOvo
Ost;Mejeri;LactoOvo
Mjölk;Mejeri;LactoOvo
Salt;Kryddor;Vegetarisk
Peppar;Kryddor;Vegetarisk
Kyckling;Fågel;Karnivor
Vitlök;Grönsaker;Vegetarisk
Soltorkade tomater;Torkad frukt;Vegetarisk
Chili färsk;Grönsaker;Vegetarisk
Timjan;Kryddor;Vegetarisk
Oregano;Kryddor;Vegetarisk
Kycklingbuljong;Kryddor;Karnivor
Vispgrädde;Mejeri;LactoOvo
Parmesanost;Mejeri;LactoOvo
Körsbärstomater;Grönsaker;Vegetarisk
Basilika färsk;Örter;Vegetarisk
Pasta;Pasta;LactoOvo
Ris;Spannmål;Vegetarisk
Lök;Grönsaker;Vegetarisk
Morötter;Rotfrukter;Vegetarisk
Olivolja;Oljor;Vegetarisk
Paprika;Grönsaker;Vegetarisk
Blomkål;Grönsaker;Vegetarisk
Aubergine;Grönsaker;Vegetarisk
Zucchini;Grönsaker;Vegetarisk
Tomater;Grönsaker;Vegetarisk
Grönsaksbuljong;Kryddor;Vegetarisk
Kokosmjölk;Konserver;Vegetarisk
Grekisk yoghurt;Mejeri;LactoOvo
Färsk timjan;Örter;Vegetarisk
Libabröd;Spannmål;Vegetarisk
Laxfilé;Fisk;Pesceterian
Citron;Citrusfrukter;Vegetarisk
Honung;Sylter och marmelader;Vegetarisk
Dill färsk;Örter;Vegetarisk
Rapsolja;Oljor;Vegetarisk
Babyspenat;Grönsaker;Vegetarisk
Dijonsenap;Smaktillsättare;Vegetarisk
